MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
4,10,	0.238699,	0.405774,	0.193946,	0.141430,	1.010850
4,11,	0.216475,	0.445495,	0.197985,	0.161427,	1.021800
4,12,	0.369596,	0.383060,	0.193228,	0.168181,	1.216923
4,13,	0.210613,	0.378516,	0.193310,	0.116513,	0.998071
4,14,	0.212883,	0.351891,	0.193751,	0.117934,	0.908240
4,15,	0.209248,	0.377412,	0.192574,	0.115760,	0.963734
4,16,	0.206265,	0.401511,	0.194889,	0.116643,	0.920189
4,17,	0.204619,	0.392633,	0.195644,	0.114495,	0.907673
4,18,	0.210663,	0.407470,	0.195392,	0.112190,	0.935317
4,19,	0.202801,	0.359058,	0.196974,	0.111961,	0.927229
4,20,	0.211610,	0.360273,	0.194320,	0.122235,	0.945128
4,21,	0.216341,	0.433191,	0.208413,	0.115957,	0.974158
4,22,	0.208960,	0.412872,	0.196295,	0.116111,	0.979713
4,23,	0.207115,	0.370913,	0.197449,	0.113577,	0.964125
4,24,	0.213359,	0.438567,	0.196460,	0.111602,	0.995150
5,1,	0.445363,	0.758418,	0.097144,	0.375114,	4.475915
5,2,	0.322593,	0.405016,	0.096738,	0.229232,	2.688447
5,3,	0.282491,	0.288823,	0.096551,	0.186356,	2.084030
5,4,	0.261491,	0.229216,	0.097472,	0.160165,	1.777275
5,5,	0.248715,	0.255542,	0.097367,	0.146289,	1.635360
5,6,	0.282585,	0.176070,	0.096541,	0.157861,	1.609333
5,7,	0.276175,	0.219037,	0.096864,	0.155014,	1.497946
5,8,	0.271432,	0.251063,	0.097636,	0.157726,	1.464487
5,9,	0.268853,	0.285495,	0.101370,	0.167664,	1.454556
5,10,	0.241808,	0.285346,	0.097031,	0.142920,	1.395089
5,11,	0.491964,	0.284632,	0.099171,	0.199145,	1.767223
5,12,	0.484462,	0.244172,	0.145367,	0.223709,	1.940185
5,13,	0.244220,	0.206574,	0.098397,	0.131145,	1.351127
5,14,	0.241741,	0.211313,	0.103162,	0.134005,	1.334234
5,15,	0.245787,	0.205194,	0.099388,	0.136490,	1.339276
5,16,	0.240122,	0.223011,	0.099364,	0.129788,	1.359138
5,17,	0.250296,	0.253321,	0.099276,	0.130101,	1.363047
5,18,	0.255707,	0.251948,	0.100232,	0.125712,	1.412666
5,19,	0.241812,	0.222876,	0.099468,	0.127951,	1.413610
5,20,	0.248442,	0.195231,	0.098722,	0.127979,	1.404008
5,21,	0.242863,	0.242187,	0.098510,	0.131199,	1.384243
5,22,	0.247604,	0.224969,	0.100112,	0.129797,	1.426017
5,23,	0.258893,	0.230060,	0.115002,	0.132012,	1.462493
5,24,	0.240733,	0.241915,	0.102762,	0.131181,	1.466854
6,1,	0.447435,	0.758061,	0.097316,	0.382700,	2.600212
6,2,	0.324612,	0.405904,	0.096782,	0.232119,	1.591149
6,3,	0.283164,	0.289257,	0.101059,	0.188393,	1.260604
6,4,	0.262681,	0.229887,	0.099386,	0.162347,	1.091585
6,5,	0.250480,	0.250626,	0.097102,	0.161369,	1.045009
6,6,	0.260815,	0.244268,	0.102255,	0.162901,	1.067054
6,7,	0.253391,	0.262576,	0.116338,	0.170421,	1.020618
6,8,	0.265742,	0.223084,	0.097340,	0.190216,	1.076898
6,9,	0.369015,	0.336117,	0.100665,	0.177093,	1.173604
6,10,	0.240865,	0.265230,	0.134184,	0.185276,	1.104802
6,11,	0.515639,	0.290334,	0.098207,	0.229851,	1.421844
6,12,	0.537621,	0.264053,	0.135533,	0.243247,	1.510827
6,13,	0.250348,	0.248029,	0.110153,	0.136375,	0.985274
6,14,	0.247468,	0.211274,	0.097795,	0.143930,	0.995972
6,15,	0.245240,	0.241226,	0.098588,	0.133438,	0.960657
6,16,	0.246605,	0.238983,	0.098812,	0.134026,	0.955494
6,17,	0.251784,	0.259609,	0.098645,	0.129691,	0.996337
6,18,	0.249645,	0.235704,	0.100787,	0.142725,	0.992155
6,19,	0.256431,	0.257714,	0.148740,	0.125068,	0.982812
6,20,	0.248176,	0.281711,	0.100037,	0.136791,	1.008955
6,21,	0.263014,	0.275006,	0.117222,	0.132325,	1.020348
6,22,	0.255986,	0.310708,	0.099393,	0.133707,	1.014767
6,23,	0.255119,	0.227485,	0.099721,	0.134178,	1.005647
6,24,	0.248911,	0.301905,	0.101315,	0.129782,	1.008507
7,1,	0.448128,	0.757721,	0.097912,	0.384063,	2.601135
7,2,	0.324174,	0.405398,	0.096629,	0.238425,	1.596793
7,3,	0.283961,	0.289360,	0.096656,	0.188131,	1.258698
7,4,	0.274962,	0.296356,	0.097304,	0.189166,	1.204533
7,5,	0.263005,	0.335922,	0.097170,	0.159287,	1.112850
7,6,	0.313348,	0.262751,	0.097370,	0.204750,	1.185642
7,7,	0.399910,	0.318128,	0.110757,	0.198492,	1.284379
7,8,	0.304042,	0.310154,	0.124070,	0.213712,	1.220919
7,9,	0.274681,	0.376736,	0.097113,	0.240778,	1.223480
7,10,	0.524897,	0.439688,	0.125602,	0.260253,	1.533857
7,11,	0.606787,	0.322729,	0.146245,	0.265814,	1.682070
7,12,	0.610718,	0.375906,	0.115777,	0.305267,	1.723397
7,13,	0.257323,	0.303527,	0.133137,	0.155085,	1.043719
7,14,	0.258325,	0.252552,	0.097762,	0.148153,	1.030861
7,15,	0.260023,	0.322473,	0.111395,	0.154707,	1.064206
7,16,	0.259493,	0.277044,	0.101505,	0.145536,	1.053580
7,17,	0.262575,	0.315736,	0.107788,	0.144560,	1.076216
7,18,	0.267345,	0.323352,	0.101722,	0.144394,	1.079522
7,19,	0.265002,	0.307576,	0.135798,	0.148571,	1.064625
7,20,	0.258274,	0.297327,	0.101852,	0.146017,	1.102443
7,21,	0.253342,	0.283856,	0.178071,	0.144669,	1.049554
7,22,	0.262853,	0.288733,	0.163609,	0.148707,	1.070961
7,23,	0.256282,	0.309981,	0.106313,	0.147663,	1.122810
7,24,	0.255240,	0.293768,	0.192898,	0.149302,	1.090537
8,1,	0.449492,	0.759229,	0.098240,	0.387016,	1.694294
8,2,	0.326298,	0.405814,	0.097422,	0.234029,	1.069700
8,3,	0.283895,	0.288950,	0.096553,	0.194247,	0.879267
8,4,	0.302662,	0.341228,	0.097151,	0.190610,	0.936109
8,5,	0.305393,	0.302581,	0.096473,	0.175382,	0.941060
8,6,	0.355976,	0.278559,	0.106230,	0.206745,	1.030872
8,7,	0.304256,	0.331067,	0.097091,	0.224857,	1.011648
8,8,	0.397939,	0.287174,	0.108675,	0.248353,	1.158921
8,9,	0.318223,	0.343372,	0.098172,	0.272247,	1.114768
8,10,	0.636391,	0.387057,	0.121573,	0.305941,	1.473652
8,11,	0.633397,	0.427146,	0.098311,	0.295636,	1.529694
8,12,	0.694712,	0.438542,	0.109803,	0.361588,	1.651443
8,13,	0.261577,	0.265573,	0.099406,	0.161929,	0.867628
8,14,	0.260570,	0.299387,	0.099053,	0.171163,	0.871934
8,15,	0.266305,	0.294469,	0.108458,	0.151692,	0.868058
8,16,	0.262029,	0.321982,	0.099597,	0.154142,	0.856073
8,17,	0.264915,	0.269355,	0.116239,	0.154764,	0.896395
8,18,	0.259231,	0.352177,	0.099478,	0.152278,	0.863491
8,19,	0.266812,	0.375861,	0.100089,	0.155222,	0.898259
8,20,	0.259610,	0.334354,	0.101395,	0.152385,	0.869280
8,21,	0.267932,	0.347947,	0.109798,	0.151310,	0.926969
8,22,	0.260294,	0.327406,	0.113721,	0.157174,	0.893945
8,23,	0.265099,	0.364769,	0.101929,	0.143682,	0.883907
8,24,	0.261296,	0.349749,	0.116542,	0.143099,	0.906956
9,1,	0.480294,	0.364716,	0.048851,	0.407898,	4.542935
9,2,	0.348734,	0.196288,	0.049219,	0.250457,	2.727847
9,3,	0.315802,	0.159231,	0.055163,	0.214572,	2.163368
9,4,	0.310976,	0.201687,	0.048943,	0.223523,	1.919789
9,5,	0.342284,	0.154060,	0.069590,	0.229092,	1.848531
9,6,	0.440863,	0.191090,	0.062604,	0.236323,	1.849208
9,7,	0.484634,	0.227554,	0.048681,	0.231210,	1.896069
9,8,	0.518370,	0.225934,	0.059291,	0.272076,	1.889961
9,9,	0.682437,	0.198515,	0.087902,	0.313002,	2.151186
9,10,	0.742067,	0.236952,	0.084695,	0.348123,	2.273889
9,11,	0.777789,	0.241266,	0.090764,	0.352194,	2.361102
9,12,	0.864516,	0.318894,	0.049302,	0.381714,	2.562766
9,13,	0.282795,	0.169517,	0.050567,	0.167280,	1.541252
9,14,	0.285663,	0.170486,	0.051222,	0.163383,	1.555761
9,15,	0.283451,	0.156171,	0.050803,	0.168282,	1.537823
9,16,	0.282266,	0.161319,	0.049874,	0.163566,	1.545307
9,17,	0.280478,	0.171339,	0.063569,	0.163220,	1.532130
9,18,	0.286054,	0.167849,	0.052633,	0.157574,	1.563893
9,19,	0.279087,	0.192095,	0.050998,	0.154545,	1.570203
9,20,	0.282185,	0.188633,	0.051151,	0.157154,	1.568414
