1,1,	0.000000,	6.771748,	0.778260,	0.000000,	7.550140
1,2,	0.000000,	3.588022,	0.773284,	0.000000,	4.422720
1,3,	0.000000,	2.538345,	0.770683,	0.000000,	3.309209
1,4,	0.000000,	2.003966,	0.771462,	0.000000,	2.775566
1,5,	0.000000,	1.689794,	0.765246,	0.000000,	2.455171
1,6,	0.000000,	1.488079,	0.768015,	0.000000,	2.256235
1,7,	0.000000,	1.339000,	0.767874,	0.000000,	2.107019
1,8,	0.000000,	1.229144,	0.769614,	0.000000,	1.998955
1,9,	0.000000,	1.150027,	0.768430,	0.000000,	1.918599
1,10,	0.000000,	1.082235,	0.767161,	0.000000,	1.849539
1,11,	0.000000,	1.027652,	0.771197,	0.000000,	1.798983
1,12,	0.000000,	0.984791,	0.774409,	0.000000,	1.759347
1,13,	0.000000,	0.989418,	0.768725,	0.000000,	1.758320
1,14,	0.000001,	0.987040,	0.767600,	0.000000,	1.754855
1,15,	0.000000,	1.000025,	0.774134,	0.000000,	1.774337
1,16,	0.000000,	1.037395,	0.768253,	0.000000,	1.805818
1,17,	0.000000,	1.051892,	0.768664,	0.000000,	1.826194
1,18,	0.000000,	1.028136,	0.767912,	0.000000,	1.796219
1,19,	0.000000,	1.071983,	0.769790,	0.000000,	1.841933
1,20,	0.000000,	1.082126,	0.771577,	0.000000,	1.853929
1,21,	0.000000,	1.040155,	0.770283,	0.000000,	1.810605
1,22,	0.000000,	1.102053,	0.802774,	0.000000,	1.905001
1,23,	0.000000,	1.130659,	0.768900,	0.000000,	1.899731
1,24,	0.000000,	1.102690,	0.770731,	0.000000,	1.873590
2,1,	0.253218,	3.272381,	0.389508,	0.214867,	4.130313
2,2,	0.182951,	1.738233,	0.386137,	0.133764,	2.442947
2,3,	0.159537,	1.231472,	0.385711,	0.115850,	1.897484
2,4,	0.147805,	0.974279,	0.384793,	0.097557,	1.609647
2,5,	0.141345,	0.824292,	0.385071,	0.087092,	1.440835
2,6,	0.135809,	0.726408,	0.387026,	0.079464,	1.331244
2,7,	0.132666,	0.655589,	0.383988,	0.074918,	1.250602
2,8,	0.129999,	0.601600,	0.384115,	0.071099,	1.190772
2,9,	0.128522,	0.563780,	0.384423,	0.068436,	1.148359
2,10,	0.127121,	0.531995,	0.384657,	0.065973,	1.113035
2,11,	0.125960,	0.509188,	0.384352,	0.064344,	1.085646
2,12,	0.125756,	0.488091,	0.384836,	0.062856,	1.063832
2,13,	0.134907,	0.497399,	0.384340,	0.072215,	1.089694
2,14,	0.132924,	0.513620,	0.384801,	0.070898,	1.103111
2,15,	0.131534,	0.505856,	0.385091,	0.069326,	1.092661
2,16,	0.130959,	0.528618,	0.406286,	0.067813,	1.134634
2,17,	0.129616,	0.504982,	0.385341,	0.066798,	1.117748
2,18,	0.129031,	0.536489,	0.385446,	0.065992,	1.164008
2,19,	0.128358,	0.555795,	0.387646,	0.064555,	1.150752
2,20,	0.127580,	0.565811,	0.386166,	0.064600,	1.145032
2,21,	0.126788,	0.583203,	0.386162,	0.063767,	1.160918
2,22,	0.125749,	0.538291,	0.386053,	0.062277,	1.130130
2,23,	0.125358,	0.565738,	0.387123,	0.061961,	1.168817
2,24,	0.124972,	0.618056,	0.408369,	0.059978,	1.214516
3,1,	0.787008,	3.152124,	0.390001,	0.661466,	8.806093
3,2,	0.588007,	1.607937,	0.374710,	0.434457,	4.695086
3,3,	0.512007,	1.083937,	0.363111,	0.335504,	3.567100
3,4,	0.473007,	0.841936,	0.374956,	0.291451,	3.040103
3,5,	0.449008,	0.608039,	0.388648,	0.264433,	2.683100
3,6,	0.443008,	0.512941,	0.364655,	0.252453,	2.516096
3,7,	0.424007,	0.423928,	0.370538,	0.236440,	2.334101
3,8,	0.418007,	0.381019,	0.381102,	0.238449,	2.252097
3,9,	0.417008,	0.387949,	0.366586,	0.228491,	2.199099
3,10,	0.414006,	0.316938,	0.372780,	0.218439,	2.126100
3,11,	0.412008,	0.276962,	0.388551,	0.202451,	2.060896
3,12,	0.400008,	0.283001,	0.376523,	0.192431,	2.014100
3,13,	0.421334,	0.296618,	0.509588,	0.228431,	2.071094
3,14,	0.419758,	0.265199,	0.468748,	0.228450,	2.101102
3,15,	0.413384,	0.288585,	0.498511,	0.227453,	2.130099
3,16,	0.410393,	0.297720,	0.492618,	0.222456,	2.141099
3,17,	0.393437,	0.253506,	0.458655,	0.219455,	2.049097
3,18,	0.400450,	0.300568,	0.471560,	0.220454,	2.142101
3,19,	0.405457,	0.282521,	0.451340,	0.218454,	2.160099
3,20,	0.402885,	0.313094,	0.471413,	0.204453,	2.129102
3,21,	0.394897,	0.323106,	0.472312,	0.201458,	2.158095
3,22,	0.393529,	0.326448,	0.379254,	0.216463,	2.174106
3,23,	0.394548,	0.335423,	0.493318,	0.212452,	2.142099
3,24,	0.390588,	0.501370,	0.452968,	0.213446,	2.200086
4,1,	0.794097,	3.155356,	0.390279,	0.698715,	5.096602
4,2,	0.583290,	1.675808,	0.375745,	0.440257,	3.164643
4,3,	0.504347,	1.179625,	0.375080,	0.358057,	2.491391
4,4,	0.472253,	0.935693,	0.388372,	0.302279,	2.161654
4,5,	0.457009,	0.789941,	0.388700,	0.279356,	1.981694
4,6,	0.430007,	0.674737,	0.398052,	0.255661,	1.819594
4,7,	0.436052,	0.570911,	0.375340,	0.248711,	1.753572
4,8,	0.421274,	0.500798,	0.381845,	0.224985,	1.733675
4,9,	0.418220,	0.460748,	0.388307,	0.225342,	1.626556
4,10,	0.421296,	0.448691,	0.388526,	0.240168,	1.615655
4,11,	0.414243,	0.470710,	0.377817,	0.231931,	1.596665
4,12,	0.402371,	0.432571,	0.388416,	0.211565,	1.528927
4,13,	0.422999,	0.364736,	0.381181,	0.230416,	1.510285
4,14,	0.423053,	0.404711,	0.382975,	0.228562,	1.497265
4,15,	0.423084,	0.401931,	0.388914,	0.234822,	1.571439
4,16,	0.421304,	0.444669,	0.392064,	0.219402,	1.547293
4,17,	0.402310,	0.416796,	0.392804,	0.218483,	1.548190
4,18,	0.408008,	0.434202,	0.402117,	0.220481,	1.538244
4,19,	0.411364,	0.432459,	0.391508,	0.232507,	1.576076
4,20,	0.430002,	0.438127,	0.395494,	0.205408,	1.574222
4,21,	0.412296,	0.490779,	0.397402,	0.228264,	1.632610
4,22,	0.411097,	0.447278,	0.392797,	0.232484,	1.584974
4,23,	0.408095,	0.504226,	0.399468,	0.204016,	1.601792
4,24,	0.414095,	0.539741,	0.394325,	0.232328,	1.642648
5,1,	1.427056,	2.263914,	0.294292,	1.169770,	13.647617
5,2,	1.031948,	1.153979,	0.277651,	0.715374,	6.157661
5,3,	0.874056,	0.738871,	0.278408,	0.569961,	4.669677
5,4,	0.831059,	0.493896,	0.281332,	0.513967,	4.063591
5,5,	0.820836,	0.417079,	0.248926,	0.464218,	3.691590
5,6,	0.799064,	0.387885,	0.287027,	0.453659,	3.507633
5,7,	0.758858,	0.320139,	0.239834,	0.440655,	3.346497
5,8,	0.753175,	0.290794,	0.267223,	0.391635,	3.202637
5,9,	0.754060,	0.285892,	0.283867,	0.381250,	3.264872
5,10,	0.763058,	0.243537,	0.240182,	0.375896,	3.132746
5,11,	0.745066,	0.231024,	0.300609,	0.368232,	3.216627
5,12,	0.712105,	0.229357,	0.282798,	0.362197,	3.221676
5,13,	0.722058,	0.195446,	0.296952,	0.377656,	3.019728
5,14,	0.720880,	0.253994,	0.280355,	0.354472,	2.992904
5,15,	0.710101,	0.222472,	0.220412,	0.375470,	3.036697
5,16,	0.691341,	0.198914,	0.203576,	0.372631,	2.986094
5,17,	0.712998,	0.225088,	0.292152,	0.364490,	3.011695
5,18,	0.737751,	0.257237,	0.251428,	0.359751,	3.130523
5,19,	0.718818,	0.258133,	0.262033,	0.371654,	3.093707
5,20,	0.703064,	0.233892,	0.290802,	0.337585,	3.034815
