MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
4,21,	0.414894,	0.416412,	0.391289,	0.656188,	1.986957
4,22,	0.441001,	0.414335,	0.400809,	0.682783,	2.058616
4,23,	0.420822,	0.467260,	0.395360,	0.658248,	2.057399
4,24,	0.423051,	0.399194,	0.434824,	0.655066,	2.001621
5,1,	1.447998,	2.240046,	0.295523,	1.132002,	13.433584
5,2,	1.040862,	1.132078,	0.272280,	1.125099,	6.489512
5,3,	0.921057,	0.720967,	0.272596,	1.157471,	5.293588
5,4,	0.856055,	0.501928,	0.288901,	1.139006,	4.636672	
5,5,	0.803144,	0.399439,	0.261009,	1.144968,	4.313673
5,6,	0.786061,	0.348879,	0.248559,	1.174641,	4.202528
5,7,	0.764864,	0.327081,	0.262417,	1.159115,	4.095581
5,8,	0.789066,	0.261800,	0.239480,	1.143446,	3.957639
5,9,	0.756064,	0.273874,	0.216812,	1.148079,	3.928668
5,10,	0.764001,	0.243942,	0.198233,	1.155597,	3.859648
5,11,	0.750999,	0.250705,	0.247372,	1.139601,	3.828667
5,12,	0.698068,	0.240876,	0.202459,	1.145520,	3.731648
5,13,	0.749099,	0.197280,	0.256418,	1.128971,	3.764223
5,14,	0.756097,	0.181129,	0.289320,	1.128961,	3.782211
5,15,	0.725060,	0.218896,	0.247406,	1.175095,	4.191129
5,16,	0.728060,	0.272894,	0.286224,	1.137755,	3.780822
5,17,	0.747057,	0.244934,	0.252525,	1.143078,	3.839102
5,18,	0.713063,	0.228265,	0.263884,	1.141984,	3.779354
5,19,	0.736059,	0.246119,	0.271071,	1.159904,	3.904738
5,20,	0.688991,	0.250947,	0.288675,	1.143760,	3.788619
5,21,	0.721061,	0.262503,	0.293326,	1.146842,	3.926657
5,22,	0.713059,	0.250862,	0.317385,	1.153653,	3.931197
5,23,	0.723059,	0.300916,	0.268978,	1.151592,	3.882087
5,24,	0.696000,	0.223791,	0.240674,	1.151149,	3.928668
6,1,	1.423856,	2.246488,	0.296375,	1.162064,	7.924550
6,2,	1.054838,	1.167122,	0.277766,	1.160034,	4.752618
6,3,	0.957058,	0.812897,	0.277424,	1.174518,	4.052695
6,4,	0.854101,	0.570855,	0.259572,	1.151551,	3.556019
6,5,	0.828002,	0.483943,	0.315383,	1.139614,	3.428701
6,6,	0.781055,	0.398895,	0.299495,	1.152073,	3.236589
6,7,	0.767999,	0.377086,	0.304349,	1.168502,	3.182614
6,8,	0.762061,	0.358877,	0.299268,	1.188102,	3.130673
6,9,	0.729996,	0.275987,	0.290897,	1.167006,	3.043570
6,10,	0.682125,	0.315814,	0.275346,	1.151984,	2.965198
6,11,	0.731899,	0.312043,	0.296618,	1.136880,	3.037617
6,12,	0.730860,	0.259742,	0.304881,	1.140476,	2.967587
6,13,	0.735895,	0.219739,	0.339583,	1.166938,	2.967783
6,14,	0.742998,	0.270937,	0.307511,	1.141263,	2.967787
6,15,	0.740859,	0.296784,	0.334795,	1.182465,	3.093451
6,16,	0.734060,	0.300887,	0.320098,	1.156679,	2.986852
6,17,	0.699864,	0.199036,	0.357440,	1.177644,	3.001712
6,18,	0.717960,	0.334146,	0.295888,	1.176580,	3.036099
6,19,	0.742053,	0.342519,	0.314522,	1.163523,	3.123653
6,20,	0.712055,	0.283699,	0.335934,	1.158094,	2.975598
6,21,	0.758057,	0.245103,	0.358883,	1.150695,	3.071048
6,22,	0.726052,	0.305774,	0.354976,	1.132611,	3.101948
6,23,	0.713103,	0.287008,	0.333056,	1.152076,	3.054168
6,24,	0.702060,	0.269251,	0.342721,	1.152606,	3.085814
7,1,	1.923075,	2.955825,	0.395938,	1.546878,	10.574615
7,2,	1.488001,	1.527968,	0.385766,	1.550572,	6.220688
7,3,	1.283055,	1.075967,	0.358073,	1.567898,	5.206618
7,4,	1.218004,	0.817930,	0.399012,	1.565002,	4.903510	
7,5,	1.090995,	0.625941,	0.373656,	1.576853,	4.494638
7,6,	1.135060,	0.623042,	0.374434,	1.546461,	4.360655
7,7,	1.074059,	0.491901,	0.354141,	1.559163,	4.258936
7,8,	1.085001,	0.491948,	0.360708,	1.520433,	4.145626
7,9,	1.065995,	0.353030,	0.400990,	1.575291,	4.139544
7,10,	1.004001,	0.421427,	0.416982,	1.566627,	4.148665
7,11,	1.063062,	0.315865,	0.427163,	1.566154,	4.108646
7,12,	0.992000,	0.278080,	0.413047,	1.556949,	4.041009
7,13,	1.044002,	0.265488,	0.429997,	1.545548,	3.940094
7,14,	0.973002,	0.279960,	0.450664,	1.545081,	3.979091
7,15,	1.009001,	0.245008,	0.461399,	1.547024,	4.017731
7,16,	0.975100,	0.295688,	0.439748,	1.532906,	3.956207
7,17,	0.939860,	0.261122,	0.425849,	1.557395,	3.862592
7,18,	0.986054,	0.282328,	0.428340,	1.563928,	3.967869
7,19,	1.023001,	0.293469,	0.426892,	1.550072,	4.047502
7,20,	0.983000,	0.367982,	0.423588,	1.539548,	4.059976
7,21,	0.974004,	0.359965,	0.430185,	1.567962,	4.016570
7,22,	0.975057,	0.249588,	0.413205,	1.539073,	4.008180
7,23,	0.978098,	0.332846,	0.436050,	1.534863,	4.087708
7,24,	1.012004,	0.365957,	0.427921,	1.539406,	4.037692
8,1,	1.840060,	2.966402,	0.394921,	1.578527,	7.154772
8,2,	1.500003,	1.589966,	0.347671,	1.574713,	5.304646
8,3,	1.279004,	1.117493,	0.361295,	1.636349,	4.732600
8,4,	1.250478,	0.860463,	0.365067,	1.660996,	4.439411
8,5,	1.176001,	0.774934,	0.360898,	1.568490,	4.157691
8,6,	1.129001,	0.621951,	0.395137,	1.566721,	3.995815
8,7,	1.051017,	0.603910,	0.396228,	1.648251,	3.843848
8,8,	1.084005,	0.496939,	0.390621,	1.565953,	3.774018
8,9,	1.016003,	0.514940,	0.396735,	1.520532,	3.721895
8,10,	1.000063,	0.396579,	0.396213,	1.546774,	3.675524
8,11,	0.995102,	0.417608,	0.387154,	1.633151,	3.681554
8,12,	1.001000,	0.361938,	0.398354,	1.590728,	3.673825
8,13,	1.037037,	0.351902,	0.388426,	1.592003,	3.623133
8,14,	0.990224,	0.340400,	0.421473,	1.599459,	3.612545
8,15,	0.995046,	0.304383,	0.411976,	1.556274,	3.535306
8,16,	0.983126,	0.338456,	0.420786,	1.567477,	3.595629
8,17,	0.986370,	0.317163,	0.436877,	1.573563,	3.608138
8,18,	0.981907,	0.387032,	0.415459,	1.547157,	3.584121
8,19,	0.987141,	0.340918,	0.434791,	1.601977,	3.681809
8,20,	1.046182,	0.375758,	0.388243,	1.557706,	3.752892
8,21,	1.005060,	0.328578,	0.404473,	1.554201,	3.761923
8,22,	0.953000,	0.420424,	0.398927,	1.590693,	3.633744
8,23,	0.987056,	0.408885,	0.443344,	1.558788,	3.630807
8,24,	0.959000,	0.409768,	0.418781,	1.614127,	3.611725
9,1,	2.705003,	1.755469,	0.224872,	2.142613,	22.995940
9,2,	2.048005,	0.882923,	0.224561,	2.150987,	9.695145
9,3,	1.747002,	0.641941,	0.214073,	2.159446,	8.207208
9,4,	1.704003,	0.439941,	0.257998,	2.222979,	7.770453	
9,5,	1.517004,	0.433938,	0.286888,	2.109380,	7.187354
9,6,	1.458002,	0.340973,	0.225167,	2.126880,	7.209207
9,7,	1.493003,	0.290965,	0.211236,	2.147885,	7.217838
9,8,	1.481002,	0.267948,	0.259745,	2.104769,	6.965528
9,9,	1.431001,	0.298941,	0.269603,	2.191986,	6.994871
9,10,	1.380004,	0.254942,	0.181215,	2.177026,	6.512661
9,11,	1.422004,	0.246938,	0.222613,	2.159956,	6.888835
9,12,	1.389004,	0.230295,	0.237978,	2.181345,	6.550609
9,13,	1.361435,	0.185699,	0.234894,	2.153977,	6.372207
9,14,	1.342666,	0.167292,	0.202278,	2.187999,	6.442114
9,15,	1.392377,	0.213597,	0.172307,	2.147972,	6.300452
9,16,	1.411474,	0.223513,	0.199085,	2.158886,	6.441125
9,17,	1.427523,	0.218461,	0.208110,	2.146960,	6.457373
9,18,	1.414567,	0.242329,	0.211920,	2.166487,	6.464196
9,19,	1.327480,	0.227499,	0.190005,	2.161532,	6.375744
9,20,	1.338571,	0.248420,	0.160180,	2.156998,	6.493115
9,21,	1.417638,	0.201020,	0.265473,	2.148345,	6.447072
9,22,	1.384572,	0.234433,	0.184262,	2.159423,	6.526064
9,23,	1.481264,	0.188336,	0.225035,	2.155901,	6.620115
9,24,	1.314609,	0.268376,	0.225876,	2.233627,	6.555446
10,1,	2.647002,	1.770920,	0.224950,	2.036112,	13.767205
10,2,	2.070004,	0.928997,	0.224652,	2.141006,	7.439271
10,3,	1.716003,	0.649924,	0.214116,	2.143981,	6.460359
10,4,	1.659003,	0.547930,	0.224494,	2.166985,	6.176017	
