MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
3,17,	0.207485,	0.249658,	0.298271,	0.146004,	1.315416,

3,18,	0.204383,	0.245719,	0.269696,	0.142919,	1.288170,

3,19,	0.203664,	0.248600,	0.267988,	0.142657,	1.282064,

3,20,	0.205234,	0.241545,	0.295842,	0.140675,	1.314074,

3,21,	0.202337,	0.250666,	0.264909,	0.140170,	1.269480,

3,22,	0.201823,	0.241165,	0.266133,	0.138371,	1.297460,

3,23,	0.203299,	0.240599,	0.256594,	0.138426,	1.381894,

3,24,	0.259172,	0.241055,	0.255430,	0.174986,	1.454844,

3,25,	0.210270,	0.386786,	0.245551,	0.153308,	1.362205,

3,26,	0.211347,	0.262008,	0.264980,	0.151758,	1.294594,

3,27,	0.208090,	0.252112,	0.278345,	0.150618,	1.306541,

3,28,	0.210256,	0.275476,	0.265347,	0.152507,	1.405238,

3,29,	0.210805,	0.258922,	0.261008,	0.149745,	1.358110,

3,30,	0.213110,	0.265613,	0.267716,	0.148427,	1.411129,

4,1,	0.421160,	1.733967,	0.213447,	0.451608,	2.822577,

4,2,	0.305025,	0.926027,	0.214124,	0.293602,	1.739055,

4,3,	0.265671,	0.662257,	0.213953,	0.259677,	1.411241,

4,4,	0.246650,	0.530818,	0.214427,	0.229224,	1.221814,

4,5,	0.234987,	0.454632,	0.214802,	0.211166,	1.116725,

4,6,	0.230911,	0.403769,	0.214817,	0.198221,	1.063817,

4,7,	0.224746,	0.382058,	0.214522,	0.193769,	1.015382,

4,8,	0.220258,	0.360937,	0.214159,	0.188268,	0.984737,

4,9,	0.219071,	0.342955,	0.215354,	0.182015,	0.960375,

4,10,	0.214780,	0.330370,	0.214965,	0.176857,	0.937853,

4,11,	0.212677,	0.314210,	0.214712,	0.172493,	0.914383,

4,12,	0.216082,	0.313019,	0.214991,	0.169015,	0.915575,

4,13,	0.231540,	0.307763,	0.217266,	0.184475,	0.941667,

4,14,	0.228045,	0.317492,	0.215445,	0.181860,	0.948589,

4,15,	0.236064,	0.285075,	0.218603,	0.172996,	0.959609,

4,16,	0.217783,	0.319417,	0.215176,	0.174563,	0.966622,

4,17,	0.236888,	0.269337,	0.220349,	0.170355,	1.014830,

4,18,	0.223468,	0.302070,	0.223477,	0.170397,	0.955081,

