MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
3,28,	0.243950,	0.329150,	0.387983,	0.162729,	1.668345,	
3,29,	0.245219,	0.299714,	0.348642,	0.174515,	1.676982,	
3,30,	0.244754,	0.318672,	0.292831,	0.174958,	1.546501,	
4,1,	0.485559,	2.003829,	0.270251,	0.535082,	3.295103,	
4,2,	0.352024,	1.062028,	0.270399,	0.337216,	2.024579,	
4,3,	0.310299,	0.753031,	0.272161,	0.302933,	1.674375,	
4,4,	0.287606,	0.602564,	0.271961,	0.263129,	1.425793,	
4,5,	0.272289,	0.509387,	0.272019,	0.241708,	1.298168,	
4,6,	0.263831,	0.455202,	0.273978,	0.225177,	1.221075,	
4,7,	0.261764,	0.397567,	0.272382,	0.216012,	1.148001,	
4,8,	0.253748,	0.384423,	0.275398,	0.207082,	1.146615,	
4,9,	0.248432,	0.345642,	0.295786,	0.199998,	1.090910,	
4,10,	0.249811,	0.340755,	0.272521,	0.195314,	1.059383,	
4,11,	0.244378,	0.311148,	0.272944,	0.190677,	1.032939,	
4,12,	0.244488,	0.316825,	0.272860,	0.188019,	1.025094,	
4,13,	0.326809,	0.304327,	0.278677,	0.235384,	1.167106,	
4,14,	0.327677,	0.334629,	0.271543,	0.231627,	1.172306,	
4,15,	0.323516,	0.340320,	0.283034,	0.205579,	1.200517,	
4,16,	0.322133,	0.327157,	0.288094,	0.205866,	1.180301,	
4,17,	0.328821,	0.302901,	0.273571,	0.224034,	1.175958,	
4,18,	0.327273,	0.325711,	0.299268,	0.200899,	1.177073,	
4,19,	0.316016,	0.370833,	0.276751,	0.204198,	1.173799,	
4,20,	0.324758,	0.360405,	0.288156,	0.212757,	1.240799,	
4,21,	0.314971,	0.307738,	0.303457,	0.199392,	1.190716,	
4,22,	0.270365,	0.386018,	0.294954,	0.198138,	1.155747,	
4,23,	0.325219,	0.374235,	0.297069,	0.196657,	1.211192,	
4,24,	0.317805,	0.317565,	0.285756,	0.217300,	1.170145,	
4,25,	0.258982,	0.329658,	0.325730,	0.205623,	1.186001,	
4,26,	0.252728,	0.355116,	0.276613,	0.194680,	1.164818,	
4,27,	0.253848,	0.395911,	0.289420,	0.189901,	1.165133,	
4,28,	0.254476,	0.358023,	0.284286,	0.203027,	1.220676,	
4,29,	0.251098,	0.392637,	0.320762,	0.200700,	1.221211,	
4,30,	0.252408,	0.382449,	0.285989,	0.187265,	1.169336,	
5,1,	0.833997,	1.325714,	0.250684,	0.983492,	9.093666,	
5,2,	0.726976,	0.687788,	0.143209,	0.649606,	4.766659,	
5,3,	0.559006,	0.470860,	0.230582,	0.655104,	3.799448,	
5,4,	0.579411,	0.379888,	0.183911,	0.447745,	3.261821,	
5,5,	0.507102,	0.253741,	0.200178,	0.350722,	2.825626,	
5,6,	0.451429,	0.245764,	0.234898,	0.381786,	2.537985,	
5,7,	0.518504,	0.208116,	0.171460,	0.332890,	2.488174,	
5,8,	0.469022,	0.180478,	0.230105,	0.333675,	2.367409,	
5,9,	0.463976,	0.192951,	0.247646,	0.256317,	2.253455,	
5,10,	0.526568,	0.170815,	0.207546,	0.337609,	2.234129,	
5,11,	0.471336,	0.150725,	0.159405,	0.297364,	2.186782,	
5,12,	0.501700,	0.167070,	0.135350,	0.357435,	2.250809,	
5,13,	0.512172,	0.158563,	0.133424,	0.396708,	2.323844,	
5,14,	0.594226,	0.174684,	0.259160,	0.325084,	2.320588,	
5,15,	0.558659,	0.199301,	0.139942,	0.339059,	2.480777,	
5,16,	0.457679,	0.190016,	0.141291,	0.301281,	2.425353,	
5,17,	0.518856,	0.157273,	0.148947,	0.289282,	2.310590,	
5,18,	0.531003,	0.199949,	0.222586,	0.359715,	2.299575,	
5,19,	0.575907,	0.185002,	0.257541,	0.347795,	2.585373,	
5,20,	0.436226,	0.200885,	0.152772,	0.321761,	2.293023,	
5,21,	0.557061,	0.202622,	0.221014,	0.294151,	2.343784,	
5,22,	0.560928,	0.175107,	0.201485,	0.333095,	2.286794,	
5,23,	0.572629,	0.218468,	0.286288,	0.377538,	2.356370,	
5,24,	0.470234,	0.196666,	0.206095,	0.309168,	2.319807,	
5,25,	0.527515,	0.187516,	0.324509,	0.249379,	2.248260,	
5,26,	0.463560,	0.184329,	0.304428,	0.388189,	2.351189,	
5,27,	0.426510,	0.172471,	0.150931,	0.283761,	2.132444,	
5,28,	0.561313,	0.205673,	0.336293,	0.306811,	2.478904,	
5,29,	0.461901,	0.185445,	0.156175,	0.301797,	2.473319,	
5,30,	0.554393,	0.215797,	0.196891,	0.379798,	2.330702,	
6,1,	0.804752,	1.343934,	0.167813,	0.972816,	5.392479,	
6,2,	0.646257,	0.784900,	0.186294,	0.535999,	3.000737,	
6,3,	0.644013,	0.470653,	0.160742,	0.503821,	2.706864,	
6,4,	0.485004,	0.369957,	0.255750,	0.459463,	2.048529,	
6,5,	0.538029,	0.337250,	0.189417,	0.416082,	2.001349,	
6,6,	0.547734,	0.254340,	0.253062,	0.392786,	1.941734,	
6,7,	0.543268,	0.242644,	0.166486,	0.498681,	1.942552,	
6,8,	0.476006,	0.213881,	0.195584,	0.395529,	1.772630,	
6,9,	0.496593,	0.226449,	0.278898,	0.460684,	1.866477,	
6,10,	0.524938,	0.209818,	0.181239,	0.424989,	1.734765,	
6,11,	0.555828,	0.157234,	0.206384,	0.342193,	1.714072,	
6,12,	0.585816,	0.168307,	0.215813,	0.311572,	1.721348,	
6,13,	0.511515,	0.162752,	0.238387,	0.353374,	1.674169,	
6,14,	0.546009,	0.229423,	0.267428,	0.368507,	1.731748,	
6,15,	0.564062,	0.243669,	0.176128,	0.380558,	1.764787,	
6,16,	0.647049,	0.207926,	0.221974,	0.403449,	2.069481,	
6,17,	0.517131,	0.234175,	0.297128,	0.431522,	1.864336,	
6,18,	0.576622,	0.216462,	0.249546,	0.322423,	1.691970,	
6,19,	0.507811,	0.209254,	0.265035,	0.402299,	1.837548,	
6,20,	0.533671,	0.303119,	0.186978,	0.408551,	1.906919,	
6,21,	0.550058,	0.176024,	0.266582,	0.421763,	1.812904,	
6,22,	0.519010,	0.231392,	0.169658,	0.343089,	1.854754,	
6,23,	0.540542,	0.261531,	0.316083,	0.395597,	1.795715,	
6,24,	0.577269,	0.218781,	0.326022,	0.332602,	1.893384,	
6,25,	0.466338,	0.255798,	0.300705,	0.345321,	1.687788,	
6,26,	0.495517,	0.229565,	0.282194,	0.316108,	1.704742,	
6,27,	0.539001,	0.218275,	0.262343,	0.361816,	1.877000,	
6,28,	0.492262,	0.219855,	0.278105,	0.336735,	1.776853,	
6,29,	0.412324,	0.179035,	0.303304,	0.375553,	1.687704,	
6,30,	0.409305,	0.238123,	0.299830,	0.390557,	1.753278,	
7,1,	1.166009,	1.924472,	0.258322,	1.271069,	7.019974,	
7,2,	0.858006,	0.987966,	0.258486,	0.845526,	3.961621,	
7,3,	0.790298,	0.703214,	0.263535,	0.683268,	3.172333,	
7,4,	0.742914,	0.554289,	0.266127,	0.625350,	2.784826,	
7,5,	0.690002,	0.413112,	0.325227,	0.533345,	2.464007,	
7,6,	0.644819,	0.405186,	0.268193,	0.523556,	2.349965,	
7,7,	0.636009,	0.327887,	0.282430,	0.486287,	2.210616,	
7,8,	0.604925,	0.270777,	0.272435,	0.453850,	2.090755,	
7,9,	0.720860,	0.259982,	0.284709,	0.478790,	2.236675,	
7,10,	0.634004,	0.263677,	0.319248,	0.440009,	2.107533,	
7,11,	0.615922,	0.230218,	0.336341,	0.445774,	2.108928,	
7,12,	0.592294,	0.209727,	0.180480,	0.436943,	2.000453,	
7,13,	0.757702,	0.288010,	0.299302,	0.526742,	2.293044,	
7,14,	0.712902,	0.318539,	0.221113,	0.511138,	2.230407,	
7,15,	0.723781,	0.278579,	0.304439,	0.437660,	2.208672,	
7,16,	0.649636,	0.177421,	0.390237,	0.490317,	2.216830,	
7,17,	0.802280,	0.304951,	0.372182,	0.478351,	2.366649,	
7,18,	0.611277,	0.265661,	0.378632,	0.496022,	2.186811,	
7,19,	0.668002,	0.303709,	0.293446,	0.469127,	2.191475,	
7,20,	0.743003,	0.266927,	0.269412,	0.453262,	2.272342,	
7,21,	0.651253,	0.312074,	0.317178,	0.529727,	2.255534,	
7,22,	0.727004,	0.363722,	0.313684,	0.467043,	2.185393,	
7,23,	0.643553,	0.313456,	0.320238,	0.460056,	2.247638,	
7,24,	0.693282,	0.373423,	0.268233,	0.481993,	2.302396,	
7,25,	0.621005,	0.287740,	0.354222,	0.435268,	2.031764,	
7,26,	0.691275,	0.295991,	0.308548,	0.415889,	2.123221,	
7,27,	0.625255,	0.191464,	0.367712,	0.455270,	2.137321,	
7,28,	0.651277,	0.274763,	0.316234,	0.431841,	2.184102,	
7,29,	0.609002,	0.339019,	0.288512,	0.416929,	2.102360,	
7,30,	0.650264,	0.283891,	0.295028,	0.436904,	2.223959,	
8,1,	1.158039,	1.929707,	0.264962,	1.323215,	4.812075,	
8,2,	0.857786,	1.026631,	0.265714,	0.877572,	3.107828,	
8,3,	0.751267,	0.706401,	0.266022,	0.723458,	2.608403,	
8,4,	0.704587,	0.544346,	0.266265,	0.652847,	2.268117,	
8,5,	0.693636,	0.438299,	0.266525,	0.590026,	2.135016,	
8,6,	0.638180,	0.379531,	0.265432,	0.552971,	1.916791,	
8,7,	0.653027,	0.342728,	0.266458,	0.529737,	1.879003,	
8,8,	0.615815,	0.284885,	0.162430,	0.514302,	1.836645,	
8,9,	0.619262,	0.266994,	0.288350,	0.513106,	1.782775,	
8,10,	0.617265,	0.276711,	0.233531,	0.543083,	1.830776,	
8,11,	0.598293,	0.259584,	0.268802,	0.469903,	1.719769,	
8,12,	0.626292,	0.236921,	0.224767,	0.486683,	1.791300,	
8,13,	0.710298,	0.291958,	0.270012,	0.563372,	1.931494,	
8,14,	0.758365,	0.274389,	0.270224,	0.485766,	2.016064,	
8,15,	0.754527,	0.302082,	0.199438,	0.512132,	1.946362,	
8,16,	0.812328,	0.335672,	0.297920,	0.495073,	2.042427,	
8,17,	0.705393,	0.315514,	0.315609,	0.523718,	1.964177,	
8,18,	0.803562,	0.394619,	0.313105,	0.503599,	2.077706,	
8,19,	0.727233,	0.328562,	0.274022,	0.502861,	1.911983,	
8,20,	0.650039,	0.297230,	0.279400,	0.504475,	1.918553,	
8,21,	0.808008,	0.291153,	0.284525,	0.569316,	2.048450,	
8,22,	0.674033,	0.342652,	0.258132,	0.511742,	1.899733,	
8,23,	0.645308,	0.346049,	0.261966,	0.489164,	1.873181,	
8,24,	0.891506,	0.326387,	0.314401,	0.445120,	2.073024,	
8,25,	0.616257,	0.297784,	0.226579,	0.501009,	1.850231,	
8,26,	0.636372,	0.283533,	0.299914,	0.454435,	1.815855,	
8,27,	0.619298,	0.327681,	0.285036,	0.425770,	1.787260,	
8,28,	0.620873,	0.321302,	0.312275,	0.466258,	1.787543,	
8,29,	0.615386,	0.295964,	0.310700,	0.425000,	1.791645,	
8,30,	0.601769,	0.382172,	0.288093,	0.455287,	1.808099,	
9,1,	1.506016,	1.172616,	0.165067,	1.747422,	15.035393,	
9,2,	1.138254,	0.593973,	0.136729,	1.136081,	6.709260,	
9,3,	1.085726,	0.347611,	0.142777,	0.980022,	5.421755,	
9,4,	0.991269,	0.263861,	0.125708,	0.788242,	4.482322,	
9,5,	0.858017,	0.221267,	0.143025,	0.792980,	4.173822,	
9,6,	0.865000,	0.190999,	0.179631,	0.719059,	4.104747,	
9,7,	0.809329,	0.198033,	0.154346,	0.641073,	3.638321,	
9,8,	0.798262,	0.161991,	0.188594,	0.703726,	3.777368,	
9,9,	0.852508,	0.140706,	0.155009,	0.660732,	3.923686,	
9,10,	0.847159,	0.139428,	0.163020,	0.557197,	3.858942,	
9,11,	0.836260,	0.127994,	0.128801,	0.596733,	3.461073,	
9,12,	0.816004,	0.114959,	0.178973,	0.655965,	3.791895,	
9,13,	0.956772,	0.140616,	0.162669,	0.665013,	3.610077,	
9,14,	0.934372,	0.176342,	0.173836,	0.625190,	3.854061,	
9,15,	1.016517,	0.145446,	0.086996,	0.641992,	4.175807,	
9,16,	0.971668,	0.174919,	0.150786,	0.607229,	3.603762,	
9,17,	0.886804,	0.203142,	0.122419,	0.617339,	3.670428,	
9,18,	0.940755,	0.208958,	0.162608,	0.572964,	3.957162,	
9,19,	0.977325,	0.220606,	0.136903,	0.621341,	3.732067,	
9,20,	0.886947,	0.235397,	0.131787,	0.588259,	3.635133,	
9,21,	0.969649,	0.171329,	0.182908,	0.590247,	3.905214,	
9,22,	0.963770,	0.185265,	0.145615,	0.634004,	3.744897,	
9,23,	0.959562,	0.153022,	0.172707,	0.590898,	3.839316,	
9,24,	0.948547,	0.181683,	0.127970,	0.603786,	3.684216,	
9,25,	0.769399,	0.149941,	0.159270,	0.569991,	3.615376,	
9,26,	0.838248,	0.163570,	0.160157,	0.509017,	3.591359,	
9,27,	0.853754,	0.170102,	0.187328,	0.527985,	3.980436,	
9,28,	0.848241,	0.141107,	0.127552,	0.554984,	3.571236,	
9,29,	0.974327,	0.191066,	0.142460,	0.587981,	3.701469,	
9,30,	0.847852,	0.202483,	0.137997,	0.555449,	3.535875,	
10,1,	1.562004,	1.134898,	0.197234,	1.640733,	9.067420,	
10,2,	1.150008,	0.519195,	0.177567,	1.099002,	4.611039,	
10,3,	1.077508,	0.391845,	0.182199,	0.992998,	3.868758,	
10,4,	1.007005,	0.277691,	0.161631,	0.865489,	3.503060,	
10,5,	0.919990,	0.234207,	0.153409,	0.765663,	3.036110,	
10,6,	0.923005,	0.247187,	0.180170,	0.702346,	3.047369,	
10,7,	0.890938,	0.146096,	0.128298,	0.684735,	2.888067,	
10,8,	0.917256,	0.166039,	0.198368,	0.694876,	2.935117,	
10,9,	0.804003,	0.175105,	0.167670,	0.681077,	2.691326,	
10,10,	0.849449,	0.127499,	0.124560,	0.641653,	2.669298,	
10,11,	0.886003,	0.160455,	0.152441,	0.644228,	2.696855,	
10,12,	0.919758,	0.123107,	0.189547,	0.594918,	2.704819,	
10,13,	1.039383,	0.157334,	0.232244,	0.644291,	2.954406,	
10,14,	1.092004,	0.106917,	0.193346,	0.705986,	2.950925,	
10,15,	0.900633,	0.140753,	0.180887,	0.746948,	2.987139,	
10,16,	0.931488,	0.199660,	0.202378,	0.657462,	2.783186,	
10,17,	1.017645,	0.230789,	0.186668,	0.579238,	2.801234,	
10,18,	1.015047,	0.190690,	0.151371,	0.587751,	2.854100,	
10,19,	1.014006,	0.183666,	0.207249,	0.595977,	2.885904,	
10,20,	1.003650,	0.184215,	0.227329,	0.622212,	2.824018,	
10,21,	1.010003,	0.143951,	0.084536,	0.647634,	2.870526,	
10,22,	0.934913,	0.210871,	0.212397,	0.596719,	2.820119,	
10,23,	0.942898,	0.217782,	0.152278,	0.650640,	2.867997,	
10,24,	0.960221,	0.292481,	0.196102,	0.668232,	2.907320,	
