MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
13,23,	1.465000,	0.260582,	0.286978,	0.830856,	3.935315,	
13,24,	1.541840,	0.239069,	0.235617,	0.776279,	4.011694,	
13,25,	1.193997,	0.286665,	0.247672,	0.757237,	3.439297,	
13,26,	1.148995,	0.255751,	0.321718,	0.731114,	3.531241,	
13,27,	1.138168,	0.237199,	0.289596,	0.733991,	3.494713,	
13,28,	1.162248,	0.265441,	0.305269,	0.814527,	3.661237,	
13,29,	1.136279,	0.271672,	0.242796,	0.739405,	3.631777,	
13,30,	1.162111,	0.235671,	0.234171,	0.733609,	3.645003,	
14,1,	2.266263,	1.581917,	0.256933,	2.441953,	8.892215,	
14,2,	1.761253,	0.801773,	0.219544,	1.469991,	5.240384,	
14,3,	1.480433,	0.593243,	0.203635,	1.197439,	4.135746,	
14,4,	1.367253,	0.367927,	0.174507,	1.031743,	3.690008,	
14,5,	1.321911,	0.372024,	0.241560,	1.082605,	3.760761,	
14,6,	1.333258,	0.351044,	0.235036,	0.923951,	3.406897,	
14,7,	1.287632,	0.264152,	0.240192,	0.925302,	3.297042,	
14,8,	1.228943,	0.256243,	0.238938,	0.841069,	3.161616,	
14,9,	1.193305,	0.228626,	0.220264,	0.835983,	3.084359,	
14,10,	1.262787,	0.255425,	0.242542,	0.821245,	3.081205,	
14,11,	1.158335,	0.168078,	0.247484,	0.737238,	2.914308,	
14,12,	1.227228,	0.209895,	0.232558,	0.734243,	2.924166,	
14,13,	1.409412,	0.189380,	0.267744,	0.871761,	3.260020,	
14,14,	1.524018,	0.182734,	0.181258,	0.885932,	3.522232,	
14,15,	1.444850,	0.280602,	0.248103,	0.910994,	3.315511,	
14,16,	1.443537,	0.147453,	0.275348,	0.737841,	3.367858,	
14,17,	1.444697,	0.197519,	0.288420,	0.884991,	3.311803,	
14,18,	1.356004,	0.145095,	0.342438,	0.888980,	3.380827,	
14,19,	1.520717,	0.397088,	0.218798,	0.751062,	3.421996,	
14,20,	1.520381,	0.335482,	0.272544,	0.819956,	3.556652,	
14,21,	1.335993,	0.356550,	0.197273,	0.790142,	3.335252,	
14,22,	1.463145,	0.254232,	0.302911,	0.845994,	3.523313,	
14,23,	1.346193,	0.302691,	0.299856,	0.819566,	3.324960,	
14,24,	1.415009,	0.322722,	0.266586,	0.825187,	3.413038,	
14,25,	1.103084,	0.238453,	0.304997,	0.738993,	2.907101,	
14,26,	1.190928,	0.267634,	0.238728,	0.714288,	3.057652,	
14,27,	1.205180,	0.307557,	0.274740,	0.779978,	3.036224,	
14,28,	1.111011,	0.331982,	0.258388,	0.729237,	3.058278,	
14,29,	1.173761,	0.196473,	0.248803,	0.755210,	3.099038,	
14,30,	1.119419,	0.248763,	0.301125,	0.674822,	3.047107,	
15,1,	2.603000,	1.843605,	0.262551,	2.729995,	10.024256,	
15,2,	1.894004,	0.955927,	0.264245,	1.691993,	5.825224,	
15,3,	1.743996,	0.685925,	0.267159,	1.401201,	4.866810,	
15,4,	1.594008,	0.467758,	0.264258,	1.266990,	4.224109,	
15,5,	1.549161,	0.406483,	0.245302,	1.110987,	3.980152,	
15,6,	1.483943,	0.373377,	0.282963,	1.020991,	3.820179,	
15,7,	1.435472,	0.302229,	0.244523,	0.940373,	3.672269,	
15,8,	1.422302,	0.243150,	0.270655,	1.001940,	3.509123,	
15,9,	1.368001,	0.247712,	0.287917,	0.959303,	3.389016,	
15,10,	1.385249,	0.238780,	0.307793,	0.909993,	3.367000,	
15,11,	1.443006,	0.187892,	0.298582,	0.964994,	3.517271,	
15,12,	1.430730,	0.206178,	0.253381,	0.860977,	3.386814,	
15,13,	1.716393,	0.311119,	0.300350,	0.935248,	3.843789,	
15,14,	1.738007,	0.335579,	0.270322,	0.898625,	3.871132,	
15,15,	1.637012,	0.237653,	0.232829,	1.028988,	3.836970,	
15,16,	1.786069,	0.224808,	0.271095,	0.945702,	3.935619,	
15,17,	1.612097,	0.382388,	0.277302,	0.876152,	3.832112,	
15,18,	1.677706,	0.342171,	0.260966,	0.906345,	3.888936,	
15,19,	1.700893,	0.292776,	0.285286,	0.854990,	3.860627,	
15,20,	1.770407,	0.238505,	0.301566,	0.919718,	3.962349,	
15,21,	1.702011,	0.241930,	0.269734,	0.885833,	3.979364,	
15,22,	1.795702,	0.425385,	0.280160,	0.834854,	4.047781,	
15,23,	1.577001,	0.278180,	0.239298,	0.909991,	3.805080,	
15,24,	1.762068,	0.419040,	0.285069,	0.892673,	3.935100,	
15,25,	1.361768,	0.232154,	0.340648,	0.844265,	3.388226,	
15,26,	1.359850,	0.283011,	0.270925,	0.857991,	3.478328,	
15,27,	1.329762,	0.318775,	0.273314,	0.871993,	3.336071,	
15,28,	1.315093,	0.189255,	0.358894,	0.826631,	3.483418,	
15,29,	1.353751,	0.214192,	0.373596,	0.782991,	3.604165,	
15,30,	1.245268,	0.253854,	0.364155,	0.845980,	3.446700,	
16,1,	2.567008,	1.835463,	0.293636,	2.711544,	7.760386,	
16,2,	1.885135,	1.010799,	0.266232,	1.727768,	5.219638,	
16,3,	1.744151,	0.453787,	0.256041,	1.325064,	4.364531,	
16,4,	1.599006,	0.518923,	0.268221,	1.223834,	3.969763,	
16,5,	1.472585,	0.427342,	0.265522,	1.128762,	3.593182,	
16,6,	1.442250,	0.392671,	0.255794,	1.023867,	3.431424,	
16,7,	1.404906,	0.342899,	0.255916,	0.895161,	3.323322,	
16,8,	1.359182,	0.276759,	0.271287,	0.919777,	3.220622,	
16,9,	1.360091,	0.269503,	0.317053,	0.966406,	3.198138,	
16,10,	1.394005,	0.289961,	0.259630,	0.890921,	3.164174,	
16,11,	1.328818,	0.279968,	0.273397,	0.874020,	3.157348,	
16,12,	1.356008,	0.184931,	0.254888,	0.877679,	3.080947,	
16,13,	1.688948,	0.287724,	0.274433,	0.971534,	3.650163,	
16,14,	1.706589,	0.194220,	0.271675,	0.973342,	3.586527,	
16,15,	1.786841,	0.212054,	0.266832,	0.999231,	3.713946,	
16,16,	1.735853,	0.286612,	0.262246,	0.926374,	3.587378,	
16,17,	1.627250,	0.231469,	0.250758,	0.914229,	3.450103,	
16,18,	1.721174,	0.249087,	0.321429,	0.966336,	3.630353,	
16,19,	1.644751,	0.248655,	0.244582,	0.955229,	3.571893,	
16,20,	1.655648,	0.259336,	0.278438,	0.997876,	3.622789,	
16,21,	1.762002,	0.349072,	0.288922,	0.914999,	3.725658,	
16,22,	1.858788,	0.314195,	0.272803,	0.863149,	3.667154,	
16,23,	1.611004,	0.407925,	0.269438,	0.928016,	3.612130,	
16,24,	1.672013,	0.326613,	0.301475,	0.914964,	3.691072,	
16,25,	1.402893,	0.211977,	0.337472,	0.853206,	3.176379,	
16,26,	1.293783,	0.297665,	0.313281,	0.802862,	3.021243,	
16,27,	1.311067,	0.354672,	0.283402,	0.871033,	3.111068,	
16,28,	1.288097,	0.283378,	0.314081,	0.828868,	3.048642,	
16,29,	1.326276,	0.234235,	0.359745,	0.849719,	3.163785,	
16,30,	1.358003,	0.274100,	0.331452,	0.780868,	3.099687,	
