MPI,	OMP,	Send MSG,	OMP time,	Array,	Recv msg,	total time
7,7,	0.291319,	0.295386,	0.133490,	0.217846,	1.171167,
7,8,	0.325789,	0.372275,	0.110692,	0.208296,	1.206560,
7,9,	0.389872,	0.394858,	0.103673,	0.211274,	1.300966,
7,10,	0.492735,	0.423918,	0.112742,	0.264789,	1.486937,
7,11,	0.585868,	0.410970,	0.103153,	0.291604,	1.654761,
7,12,	0.553392,	0.410237,	0.217400,	0.294630,	1.638668,
8,1,	0.470107,	0.751992,	0.098418,	0.383130,	1.704327,
8,2,	0.341107,	0.402180,	0.096883,	0.235575,	1.093719,
8,3,	0.309114,	0.288044,	0.101157,	0.190827,	0.897266,
8,4,	0.315483,	0.260465,	0.096558,	0.197571,	0.973732,
8,5,	0.291245,	0.283724,	0.098439,	0.190791,	0.938502,
8,6,	0.332980,	0.295879,	0.110157,	0.210658,	1.010966,
8,7,	0.320383,	0.321799,	0.109865,	0.217087,	1.020701,
8,8,	0.373425,	0.343327,	0.119000,	0.235552,	1.125507,
8,9,	0.302293,	0.311230,	0.152497,	0.244096,	1.069633,
8,10,	0.539720,	0.401253,	0.097376,	0.293232,	1.382750,
8,11,	0.540568,	0.417639,	0.101813,	0.319113,	1.457177,
8,12,	0.653063,	0.423492,	0.122892,	0.346337,	1.616650,
